cittadinanza,genere,comune_pdf,provenienza,classe_eta,eta,conta
Marocco,M,Bra,Africa,Adulto,44,515
Marocco,M,Bra,Africa,Giovane adulto,35,515
India,M,Bra,India,Giovane,22,515
Tunisia,M,Bra,Africa,Giovane,26,515
India,M,Bra,India,Giovane,30,515
Romania,M,Bra,Euro-est,Adulto,43,515
Repubblica popolare cinese,F,Bra,India,Adulto,47,515
Repubblica popolare cinese,F,Bra,India,Adulto,49,515
Repubblica popolare cinese,M,Bra,India,Giovane adulto,33,515
Marocco,M,Bra,Africa,Anziano,54,515
Afghanistan,M,Bra,India,Giovane,26,515
Repubblica popolare cinese,F,Bra,India,Anziano,56,515
Albania,M,Bra,Euro-est,Adulto,45,515
Romania,M,Bra,Euro-est,Giovane,21,515
Nigeria,F,Bra,Sub-shara,Adulto,46,515
Marocco,F,Bra,Africa,Giovane adulto,38,515
Bangladesh,M,Bra,India,Giovane,30,515
Pakistan,M,Bra,India,Giovane adulto,32,515
Marocco,M,Bra,Africa,Anziano,56,515
Argentina,M,Bra,Americhe,Giovane adulto,34,515
India,F,Bra,India,Giovane adulto,31,515
Costa d'avorio,M,Bra,Sub-shara,Giovane,26,515
Albania,F,Bra,Euro-est,Adulto,43,515
Romania,M,Bra,Euro-est,Anziano,60,515
India,M,Bra,India,Giovane adulto,36,515
India,M,Bra,India,Giovane,22,515
Repubblica popolare cinese,M,Bra,India,Adulto,45,515
Marocco,M,Bra,Africa,Anziano,51,515
Albania,M,Bra,Euro-est,Anziano,65,515
Macedonia,M,Bra,Euro-est,Adulto,50,515
Albania,F,Bra,Euro-est,Anziano,56,515
Repubblica popolare cinese,F,Bra,India,Anziano,51,515
Romania,F,Bra,Euro-est,Anziano,52,515
Repubblica dominicana,F,Bra,Americhe,Giovane adulto,37,515
Albania,F,Bra,Euro-est,Anziano,56,515
Bra,M,Bra,Italia,Giovane,27,515
Marocco,M,Bra,Africa,Anziano,61,515
Romania,M,Bra,Euro-est,Anziano,55,515
Marocco,M,Bra,Africa,Giovane,28,515
Nizza monferrato,F,Bra,Italia,Adulto,48,515
Alba,M,Bra,Italia,Giovane,21,515
Bangladesh,M,Bra,India,Giovane,26,515
Egitto,M,Bra,Africa,Giovane adulto,34,515
Bangladesh,M,Bra,India,Adulto,47,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Bangladesh,M,Bra,India,Adulto,42,515
Bra,M,Bra,Italia,Giovane,24,515
Albania,F,Bra,Euro-est,Giovane adulto,40,515
India,M,Bra,India,Adulto,41,515
Senegal,M,Bra,Sub-shara,Giovane adulto,39,515
India,M,Bra,India,Adulto,50,515
Romania,F,Bra,Euro-est,Giovane adulto,36,515
Trabia,M,Bra,Italia,Anziano,55,515
Bangladesh,M,Bra,India,Giovane,25,515
Morra,F,Bra,Italia,Anziano,65,515
India,M,Bra,India,Giovane adulto,31,515
Egitto,M,Bra,Africa,Adulto,49,515
Francavilla angitola,M,Bra,Italia,Anziano,76,515
Albania,M,Bra,Euro-est,Anziano,57,515
India,M,Bra,India,Giovane adulto,38,515
Marocco,F,Bra,Africa,Anziano,53,515
Romania,F,Bra,Euro-est,Giovane adulto,35,515
Repubblica popolare cinese,M,Bra,India,Adulto,42,515
India,M,Bra,India,Giovane adulto,35,515
India,M,Bra,India,Giovane,24,515
Repubblica popolare cinese,M,Bra,India,Anziano,59,515
Bra,F,Bra,Italia,Anziano,74,515
Cuneo,F,Bra,Italia,Giovane,28,515
Repubblica popolare cinese,M,Bra,India,Adulto,49,515
Piazza armerina,M,Bra,Italia,Anziano,66,515
Somalia,M,Bra,Sub-shara,Giovane,24,515
Marocco,M,Bra,Africa,Anziano,52,515
Marocco,F,Bra,Africa,Adulto,49,515
Repubblica dominicana,M,Bra,Americhe,Giovane,21,515
Albania,M,Bra,Euro-est,Adulto,41,515
India,M,Bra,India,Anziano,52,515
Marocco,M,Bra,Africa,Giovane adulto,34,515
India,M,Bra,India,Adulto,44,515
Somalia,M,Bra,Sub-shara,Giovane adulto,39,515
Bra,M,Bra,Italia,Anziano,63,515
Romania,F,Bra,Euro-est,Giovane,27,515
Tunisia,M,Bra,Africa,Adulto,49,515
Egitto,M,Bra,Africa,Giovane adulto,34,515
India,M,Bra,India,Giovane adulto,32,515
Senegal,M,Bra,Sub-shara,Anziano,66,515
Egitto,M,Bra,Africa,Adulto,49,515
Romania,F,Bra,Euro-est,Giovane,26,515
Repubblica popolare cinese,M,Bra,India,Anziano,56,515
Bangladesh,M,Bra,India,Giovane,20,515
Bangladesh,M,Bra,India,Giovane,24,515
Marocco,F,Bra,Africa,Anziano,56,515
Pakistan,M,Bra,India,Giovane adulto,37,515
Albania,F,Bra,Euro-est,Anziano,52,515
Bra,M,Bra,Italia,Giovane adulto,31,515
Repubblica popolare cinese,F,Bra,India,Anziano,52,515
Albania,M,Bra,Euro-est,Giovane adulto,34,515
Marocco,M,Bra,Africa,Adulto,44,515
Mali,M,Bra,Africa,Giovane adulto,34,515
Repubblica popolare cinese,M,Bra,India,Anziano,55,515
Egitto,M,Bra,Africa,Giovane adulto,31,515
Bra,M,Bra,Italia,Anziano,60,515
Torino,F,Bra,Italia,Anziano,62,515
India,M,Bra,India,Adulto,42,515
Albania,F,Bra,Euro-est,Giovane,29,515
Macedonia,M,Bra,Euro-est,Giovane,24,515
Egitto,M,Bra,Africa,Giovane adulto,34,515
Afghanistan,M,Bra,India,Giovane,26,515
Romania,M,Bra,Euro-est,Giovane,28,515
India,M,Bra,India,Giovane adulto,32,515
Marocco,F,Bra,Africa,Giovane adulto,34,515
India,F,Bra,India,Giovane,20,515
India,M,Bra,India,Giovane adulto,31,515
Marocco,M,Bra,Africa,Adulto,42,515
Romania,M,Bra,Euro-est,Giovane adulto,37,515
India,M,Bra,India,Giovane adulto,31,515
Romania,F,Bra,Euro-est,Giovane adulto,37,515
Albania,M,Bra,Euro-est,Giovane adulto,37,515
Gambia,M,Bra,Sub-shara,Giovane adulto,36,515
India,M,Bra,India,Giovane adulto,37,515
India,M,Bra,India,Adulto,47,515
Nigeria,F,Bra,Sub-shara,Giovane adulto,38,515
Bra,F,Bra,Italia,Anziano,64,515
India,M,Bra,India,Anziano,65,515
Bra,M,Bra,Italia,Giovane,27,515
Ivrea,M,Bra,Italia,Giovane adulto,33,515
Pakistan,M,Bra,India,Adulto,42,515
Romania,F,Bra,Euro-est,Anziano,55,515
Marocco,M,Bra,Africa,Adulto,46,515
Ghana,M,Bra,Sub-shara,Giovane adulto,34,515
Ghana,M,Bra,Sub-shara,Giovane adulto,33,515
Repubblica popolare cinese,M,Bra,India,Anziano,52,515
India,M,Bra,India,Giovane,28,515
India,M,Bra,India,Giovane adulto,36,515
Romania,F,Bra,Euro-est,Anziano,51,515
Mali,M,Bra,Africa,Giovane adulto,31,515
Repubblica popolare cinese,F,Bra,India,Adulto,43,515
India,M,Bra,India,Adulto,47,515
Marocco,M,Bra,Africa,Giovane,30,515
Nigeria,F,Bra,Sub-shara,Giovane adulto,40,515
Senegal,M,Bra,Sub-shara,Giovane,20,515
Bra,F,Bra,Italia,Giovane,24,515
India,M,Bra,India,Giovane adulto,38,515
Senegal,M,Bra,Sub-shara,Anziano,59,515
Marocco,M,Bra,Africa,Giovane,27,515
Repubblica popolare cinese,M,Bra,India,Adulto,50,515
Egitto,F,Bra,Africa,Giovane,20,515
Marocco,M,Bra,Africa,Giovane adulto,34,515
Sommariva perno,M,Bra,Italia,Anziano,67,515
Bra,M,Bra,Italia,Anziano,57,515
Repubblica popolare cinese,M,Bra,India,Anziano,56,515
Guinea,M,Bra,Sub-shara,Giovane,30,515
Marocco,M,Bra,Africa,Giovane adulto,39,515
Pakistan,M,Bra,India,Adulto,48,515
Stati uniti d'america,F,Bra,Americhe,Giovane,25,515
Marocco,M,Bra,Africa,Adulto,41,515
India,M,Bra,India,Giovane,26,515
Nigeria,M,Bra,Sub-shara,Giovane adulto,31,515
Senegal,F,Bra,Sub-shara,Giovane,26,515
Marocco,M,Bra,Africa,Giovane adulto,38,515
Bra,M,Bra,Italia,Giovane,24,515
Torino,F,Bra,Italia,Giovane adulto,32,515
Bangladesh,M,Bra,India,Giovane,26,515
Repubblica popolare cinese,M,Bra,India,Anziano,56,515
Alba,M,Bra,Italia,Giovane,24,515
Bra,F,Bra,Italia,Giovane adulto,40,515
Albania,M,Bra,Euro-est,Anziano,56,515
India,M,Bra,India,Giovane adulto,40,515
Senegal,M,Bra,Sub-shara,Giovane,20,515
Finale ligure,M,Bra,Italia,Anziano,71,515
Marocco,F,Bra,Africa,Adulto,45,515
Repubblica popolare cinese,M,Bra,India,Adulto,46,515
Bangladesh,M,Bra,India,Giovane adulto,40,515
Repubblica popolare cinese,M,Bra,India,Anziano,51,515
Egitto,M,Bra,Africa,Adulto,49,515
India,M,Bra,India,Giovane adulto,40,515
Marocco,M,Bra,Africa,Adulto,43,515
Bra,M,Bra,Italia,Anziano,59,515
Grumo nevano,M,Bra,Italia,Anziano,78,515
India,M,Bra,India,Giovane,29,515
Repubblica sudafricana,M,Bra,Sub-shara,Giovane adulto,36,515
Alba,M,Bra,Italia,Adulto,42,515
Bra,F,Bra,Italia,Adulto,48,515
Afghanistan,M,Bra,India,Giovane,29,515
Bra,M,Bra,Italia,Giovane,22,515
Repubblica popolare cinese,M,Bra,India,Anziano,57,515
Romania,M,Bra,Euro-est,Giovane,28,515
Savigliano,F,Bra,Italia,Giovane adulto,33,515
Alba,F,Bra,Italia,Giovane,22,515
Ghana,M,Bra,Sub-shara,Giovane,29,515
Cherasco,M,Bra,Italia,Anziano,70,515
Savigliano,F,Bra,Italia,Giovane,25,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Senegal,M,Bra,Sub-shara,Giovane,18,515
Marene,M,Bra,Italia,Anziano,66,515
India,M,Bra,India,Giovane adulto,39,515
Repubblica popolare cinese,M,Bra,India,Adulto,42,515
Marocco,M,Bra,Africa,Anziano,54,515
Gambia,M,Bra,Sub-shara,Giovane,25,515
Bra,F,Bra,Italia,Giovane,20,515
India,M,Bra,India,Giovane,24,515
Marocco,M,Bra,Africa,Adulto,47,515
Gambia,M,Bra,Sub-shara,Giovane,26,515
Albania,F,Bra,Euro-est,Adulto,43,515
India,M,Bra,India,Adulto,50,515
Mondovi',F,Bra,Italia,Anziano,54,515
Savigliano,M,Bra,Italia,Giovane adulto,32,515
Albania,F,Bra,Euro-est,Adulto,48,515
Repubblica dominicana,M,Bra,Americhe,Anziano,54,515
Repubblica popolare cinese,M,Bra,India,Anziano,67,515
India,M,Bra,India,Anziano,54,515
Romania,M,Bra,Euro-est,Giovane,29,515
Bra,M,Bra,Italia,Giovane,19,515
India,M,Bra,India,Giovane,27,515
India,M,Bra,India,Anziano,52,515
Ucraina,F,Bra,Euro-est,Adulto,43,515
Bra,F,Bra,Italia,Adulto,50,515
India,M,Bra,India,Giovane adulto,36,515
India,M,Bra,India,Giovane adulto,38,515
India,M,Bra,India,Adulto,49,515
India,M,Bra,India,Giovane adulto,34,515
India,F,Bra,India,Giovane,27,515
Moldavia,M,Bra,Euro-est,Giovane adulto,31,515
Repubblica popolare cinese,F,Bra,India,Anziano,62,515
India,M,Bra,India,Adulto,41,515
Repubblica popolare cinese,M,Bra,India,Adulto,47,515
Romania,M,Bra,Euro-est,Giovane adulto,40,515
Repubblica popolare cinese,M,Bra,India,Anziano,52,515
Albania,M,Bra,Euro-est,Anziano,58,515
Marocco,F,Bra,Africa,Giovane adulto,37,515
Repubblica popolare cinese,F,Bra,India,Adulto,48,515
Oristano,M,Bra,Italia,Giovane,24,515
Senegal,F,Bra,Sub-shara,Adulto,42,515
Albania,F,Bra,Euro-est,Anziano,52,515
Repubblica popolare cinese,F,Bra,India,Adulto,48,515
India,M,Bra,India,Anziano,62,515
Senegal,M,Bra,Sub-shara,Anziano,59,515
Senegal,M,Bra,Sub-shara,Giovane,27,515
India,M,Bra,India,Giovane adulto,34,515
Albania,M,Bra,Euro-est,Anziano,67,515
India,M,Bra,India,Giovane adulto,35,515
Egitto,M,Bra,Africa,Adulto,44,515
Repubblica popolare cinese,M,Bra,India,Anziano,59,515
India,M,Bra,India,Giovane adulto,36,515
India,M,Bra,India,Giovane adulto,37,515
Albania,F,Bra,Euro-est,Anziano,52,515
Marocco,M,Bra,Africa,Adulto,45,515
Bra,M,Bra,Italia,Adulto,42,515
Bangladesh,M,Bra,India,Adulto,41,515
India,M,Bra,India,Giovane,25,515
India,M,Bra,India,Adulto,49,515
India,M,Bra,India,Anziano,59,515
Carmagnola,M,Bra,Italia,Adulto,47,515
Nigeria,M,Bra,Sub-shara,Giovane adulto,39,515
Marocco,M,Bra,Africa,Adulto,42,515
Tunisia,F,Bra,Africa,Adulto,41,515
Marocco,M,Bra,Africa,Adulto,42,515
Bra,F,Bra,Italia,Giovane,26,515
Albania,M,Bra,Euro-est,Anziano,62,515
Messico,F,Bra,Americhe,Giovane,29,515
Repubblica popolare cinese,M,Bra,India,Adulto,45,515
Albania,F,Bra,Euro-est,Giovane,29,515
India,M,Bra,India,Giovane adulto,38,515
Albania,M,Bra,Euro-est,Giovane,20,515
Senegal,M,Bra,Sub-shara,Giovane,30,515
Repubblica popolare cinese,F,Bra,India,Giovane adulto,37,515
Salvador,F,Bra,Italia,Anziano,51,515
Marocco,F,Bra,Africa,Adulto,43,515
India,F,Bra,India,Giovane adulto,31,515
Afghanistan,M,Bra,India,Giovane,29,515
India,M,Bra,India,Adulto,48,515
Nigeria,M,Bra,Sub-shara,Adulto,47,515
Repubblica popolare cinese,F,Bra,India,Adulto,43,515
Egitto,M,Bra,Africa,Giovane,30,515
India,M,Bra,India,Giovane adulto,38,515
Nigeria,M,Bra,Sub-shara,Giovane,30,515
Romania,M,Bra,Euro-est,Giovane adulto,31,515
Avezzano,M,Bra,Italia,Giovane,28,515
Polistena,M,Bra,Italia,Giovane adulto,32,515
Marocco,F,Bra,Africa,Giovane,26,515
Egitto,M,Bra,Africa,Giovane adulto,38,515
Romania,F,Bra,Euro-est,Adulto,45,515
India,M,Bra,India,Giovane,30,515
Romania,F,Bra,Euro-est,Anziano,64,515
Bra,M,Bra,Italia,Giovane,26,515
Egitto,M,Bra,Africa,Giovane,23,515
Genova,M,Bra,Italia,Anziano,66,515
India,M,Bra,India,Anziano,64,515
Albania,F,Bra,Euro-est,Giovane,27,515
Egitto,M,Bra,Africa,Giovane adulto,39,515
Bra,F,Bra,Italia,Adulto,44,515
Repubblica popolare cinese,F,Bra,India,Anziano,57,515
Bangladesh,M,Bra,India,Giovane,24,515
Macedonia,F,Bra,Euro-est,Adulto,48,515
India,M,Bra,India,Giovane,29,515
India,M,Bra,India,Adulto,48,515
Bra,M,Bra,Italia,Giovane,28,515
Romania,M,Bra,Euro-est,Giovane adulto,38,515
Bologna,F,Bra,Italia,Giovane,24,515
Egitto,M,Bra,Africa,Giovane,27,515
Marocco,M,Bra,Africa,Giovane adulto,40,515
Albania,M,Bra,Euro-est,Anziano,55,515
India,F,Bra,India,Giovane,25,515
Albania,M,Bra,Euro-est,Adulto,44,515
Marocco,M,Bra,Africa,Anziano,64,515
Cherasco,F,Bra,Italia,Anziano,66,515
Alba,M,Bra,Italia,Anziano,54,515
Albania,M,Bra,Euro-est,Anziano,62,515
Ghana,M,Bra,Sub-shara,Giovane adulto,32,515
Nigeria,M,Bra,Sub-shara,Giovane adulto,40,515
Bra,M,Bra,Italia,Adulto,50,515
Romania,M,Bra,Euro-est,Anziano,52,515
Marocco,M,Bra,Africa,Adulto,48,515
Marocco,M,Bra,Africa,Giovane,28,515
Marocco,M,Bra,Africa,Adulto,49,515
Romania,M,Bra,Euro-est,Anziano,56,515
Sudan,M,Bra,Africa,Giovane adulto,31,515
Albania,M,Bra,Euro-est,Adulto,43,515
Egitto,F,Bra,Africa,Giovane,24,515
Germania,F,Bra,Euro-centro,Giovane,28,515
Albania,M,Bra,Euro-est,Anziano,63,515
Bra,M,Bra,Italia,Adulto,50,515
India,M,Bra,India,Giovane adulto,36,515
Africo,F,Bra,Italia,Anziano,53,515
Tunisia,F,Bra,Africa,Anziano,51,515
Pakistan,M,Bra,India,Giovane adulto,35,515
India,M,Bra,India,Giovane,20,515
Sommariva del bosco,M,Bra,Italia,Anziano,69,515
Repubblica popolare cinese,F,Bra,India,Anziano,54,515
Marocco,M,Bra,Africa,Anziano,57,515
Marocco,M,Bra,Africa,Adulto,44,515
Albania,F,Bra,Euro-est,Giovane adulto,37,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Albania,F,Bra,Euro-est,Giovane,23,515
Egitto,M,Bra,Africa,Giovane,29,515
Repubblica popolare cinese,F,Bra,India,Anziano,51,515
India,M,Bra,India,Adulto,42,515
Romania,F,Bra,Euro-est,Anziano,64,515
Albania,F,Bra,Euro-est,Anziano,54,515
Marocco,M,Bra,Africa,Giovane adulto,38,515
Albania,M,Bra,Euro-est,Anziano,58,515
Marocco,M,Bra,Africa,Adulto,41,515
India,M,Bra,India,Giovane,27,515
Bra,F,Bra,Italia,Adulto,43,515
Alba,F,Bra,Italia,Giovane,20,515
Filippine,M,Bra,India,Anziano,58,515
Egitto,M,Bra,Africa,Adulto,43,515
India,M,Bra,India,Giovane adulto,32,515
India,M,Bra,India,Giovane adulto,35,515
Albania,F,Bra,Euro-est,Giovane adulto,33,515
India,M,Bra,India,Anziano,60,515
Costa d'avorio,F,Bra,Sub-shara,Adulto,41,515
Argentina,M,Bra,Americhe,Giovane adulto,36,515
Burkina faso,M,Bra,Sub-shara,Giovane,27,515
Bangladesh,M,Bra,India,Giovane adulto,31,515
Repubblica popolare cinese,F,Bra,India,Anziano,53,515
Marocco,M,Bra,Africa,Anziano,67,515
Romania,M,Bra,Euro-est,Giovane adulto,33,515
Marocco,F,Bra,Africa,Adulto,48,515
Repubblica popolare cinese,M,Bra,India,Adulto,48,515
Senegal,M,Bra,Sub-shara,Giovane,18,515
Marocco,M,Bra,Africa,Giovane,22,515
Bangladesh,M,Bra,India,Giovane adulto,36,515
Egitto,M,Bra,Africa,Giovane adulto,39,515
Catania,F,Bra,Italia,Anziano,67,515
Marocco,F,Bra,Africa,Giovane adulto,37,515
Albania,M,Bra,Euro-est,Anziano,53,515
Repubblica popolare cinese,M,Bra,India,Giovane adulto,38,515
Marocco,M,Bra,Africa,Adulto,45,515
India,M,Bra,India,Giovane,25,515
Repubblica dominicana,M,Bra,Americhe,Giovane adulto,31,515
Gambia,M,Bra,Sub-shara,Giovane adulto,35,515
Bra,M,Bra,Italia,Anziano,57,515
Somalia,M,Bra,Sub-shara,Giovane,24,515
Repubblica popolare cinese,F,Bra,India,Anziano,51,515
Repubblica popolare cinese,F,Bra,India,Anziano,55,515
Marocco,M,Bra,Africa,Adulto,48,515
Senegal,M,Bra,Sub-shara,Giovane adulto,34,515
India,M,Bra,India,Giovane,25,515
Repubblica popolare cinese,F,Bra,India,Anziano,52,515
Marocco,M,Bra,Africa,Adulto,42,515
Romania,M,Bra,Euro-est,Anziano,56,515
India,M,Bra,India,Anziano,55,515
Bra,F,Bra,Italia,Giovane,24,515
Repubblica popolare cinese,M,Bra,India,Adulto,47,515
Romania,F,Bra,Euro-est,Anziano,55,515
Albania,F,Bra,Euro-est,Anziano,52,515
Mali,M,Bra,Africa,Giovane,30,515
Senegal,M,Bra,Sub-shara,Giovane,19,515
Bra,M,Bra,Italia,Giovane,27,515
Albania,M,Bra,Euro-est,Giovane adulto,31,515
Egitto,M,Bra,Africa,Adulto,41,515
Tunisia,M,Bra,Africa,Adulto,48,515
Bangladesh,M,Bra,India,Giovane,21,515
Savigliano,M,Bra,Italia,Giovane,18,515
Sorrento,M,Bra,Italia,Anziano,52,515
Ghana,M,Bra,Sub-shara,Giovane,30,515
Albania,M,Bra,Euro-est,Anziano,60,515
Marocco,M,Bra,Africa,Adulto,50,515
Repubblica popolare cinese,M,Bra,India,Adulto,50,515
India,M,Bra,India,Giovane adulto,35,515
Bra,M,Bra,Italia,Anziano,60,515
Tunisia,M,Bra,Africa,Adulto,48,515
Marocco,M,Bra,Africa,Anziano,62,515
Romania,F,Bra,Euro-est,Anziano,61,515
Bangladesh,M,Bra,India,Giovane adulto,35,515
India,F,Bra,India,Adulto,41,515
Caprauna,M,Bra,Italia,Anziano,74,515
Bangladesh,M,Bra,India,Giovane adulto,38,515
Egitto,M,Bra,Africa,Giovane,30,515
Romania,M,Bra,Euro-est,Giovane adulto,37,515
India,M,Bra,India,Giovane adulto,32,515
San gavino monreale,M,Bra,Italia,Adulto,43,515
Romania,F,Bra,Euro-est,Adulto,45,515
Bra,M,Bra,Italia,Giovane,20,515
Racconigi,F,Bra,Italia,Anziano,64,515
Bra,M,Bra,Italia,Anziano,60,515
India,M,Bra,India,Giovane,29,515
Repubblica popolare cinese,F,Bra,India,Giovane adulto,35,515
India,M,Bra,India,Adulto,44,515
Repubblica dominicana,F,Bra,Americhe,Adulto,41,515
Repubblica popolare cinese,F,Bra,India,Giovane adulto,31,515
Bra,M,Bra,Italia,Giovane,22,515
Burkina faso,F,Bra,Sub-shara,Adulto,41,515
Repubblica popolare cinese,F,Bra,India,Adulto,44,515
Egitto,F,Bra,Africa,Giovane,22,515
Marocco,M,Bra,Africa,Giovane,26,515
India,M,Bra,India,Adulto,46,515
Bra,M,Bra,Italia,Adulto,50,515
Marocco,M,Bra,Africa,Giovane adulto,32,515
Bra,F,Bra,Italia,Anziano,54,515
Marocco,M,Bra,Africa,Giovane,25,515
Repubblica popolare cinese,M,Bra,India,Anziano,56,515
India,M,Bra,India,Giovane,23,515
Repubblica popolare cinese,F,Bra,India,Giovane adulto,35,515
Repubblica dominicana,M,Bra,Americhe,Giovane adulto,34,515
Burkina faso,M,Bra,Sub-shara,Giovane adulto,36,515
India,M,Bra,India,Anziano,60,515
Repubblica popolare cinese,M,Bra,India,Adulto,44,515
Gabon,M,Bra,Sub-shara,Anziano,52,515
Marocco,M,Bra,Africa,Anziano,52,515
Albania,M,Bra,Euro-est,Giovane adulto,31,515
Albania,F,Bra,Euro-est,Adulto,45,515
Haiti,F,Bra,Americhe,Giovane adulto,36,515
Repubblica popolare cinese,M,Bra,India,Anziano,52,515
Repubblica popolare cinese,F,Bra,India,Anziano,56,515
Albania,F,Bra,Euro-est,Adulto,47,515
India,M,Bra,India,Giovane adulto,40,515
Marocco,M,Bra,Africa,Giovane adulto,33,515
Marocco,F,Bra,Africa,Adulto,44,515
Bangladesh,M,Bra,India,Giovane adulto,39,515
India,F,Bra,India,Adulto,49,515
Tunisia,F,Bra,Africa,Adulto,42,515
Repubblica popolare cinese,F,Bra,India,Adulto,49,515
Bra,F,Bra,Italia,Giovane adulto,39,515
Repubblica popolare cinese,F,Bra,India,Adulto,50,515
Repubblica popolare cinese,F,Bra,India,Adulto,42,515
Carmagnola,M,Bra,Italia,Giovane,18,515
Polonia,F,Bra,Euro-est,Giovane adulto,38,515
India,M,Bra,India,Giovane,26,515
Bangladesh,M,Bra,India,Giovane adulto,32,515
Ponte,M,Bra,Italia,Anziano,77,515
San severo,M,Bra,Italia,Giovane,21,515
Marocco,M,Bra,Africa,Giovane adulto,35,515
Torino,F,Bra,Italia,Adulto,44,515
India,M,Bra,India,Adulto,41,515
India,F,Bra,India,Giovane adulto,40,515
Albania,M,Bra,Euro-est,Adulto,48,515
Mali,M,Bra,Africa,Giovane adulto,31,515
Germania,M,Bra,Euro-centro,Giovane,25,515
India,M,Bra,India,Giovane,29,515
India,M,Bra,India,Giovane,28,515
India,M,Bra,India,Adulto,48,515
Marocco,M,Bra,Africa,Giovane adulto,36,515
Senegal,M,Bra,Sub-shara,Giovane,29,515
Marocco,M,Bra,Africa,Adulto,49,515
India,M,Bra,India,Giovane,26,515
Costa d'avorio,M,Bra,Sub-shara,Adulto,43,515
Marocco,M,Bra,Africa,Adulto,44,515
Albania,F,Bra,Euro-est,Giovane,27,515
Gambia,M,Bra,Sub-shara,Giovane,29,515
India,M,Bra,India,Adulto,46,515
Cuneo,F,Bra,Italia,Giovane,24,515
Marocco,M,Bra,Africa,Giovane,29,515
Albania,F,Bra,Euro-est,Adulto,50,515
Costa d'avorio,M,Bra,Sub-shara,Giovane adulto,31,515
Bra,M,Bra,Italia,Giovane,22,515
Albania,M,Bra,Euro-est,Giovane,29,515
Argentina,M,Bra,Americhe,Giovane adulto,36,515
Bra,F,Bra,Italia,Giovane adulto,39,515
Mali,M,Bra,Africa,Giovane adulto,34,515
Albania,F,Bra,Euro-est,Anziano,55,515
Albania,M,Bra,Euro-est,Giovane,30,515
India,M,Bra,India,Adulto,48,515
Marocco,M,Bra,Africa,Anziano,57,515
India,M,Bra,India,Giovane,27,515
India,M,Bra,India,Giovane adulto,38,515
Marocco,M,Bra,Africa,Adulto,50,515
Mali,M,Bra,Africa,Giovane,29,515
India,M,Bra,India,Giovane,23,515
Albania,M,Bra,Euro-est,Giovane adulto,37,515
Castelvetrano,F,Bra,Italia,Anziano,57,515
Ghana,M,Bra,Sub-shara,Giovane,26,515
Albania,F,Bra,Euro-est,Anziano,58,515
Marocco,M,Bra,Africa,Adulto,44,515
Marocco,F,Bra,Africa,Giovane,29,515
India,M,Bra,India,Giovane,27,515
India,M,Bra,India,Giovane adulto,32,515
Albania,M,Bra,Euro-est,Anziano,51,515
Bangladesh,M,Bra,India,Giovane adulto,34,515
Repubblica popolare cinese,F,Bra,India,Adulto,49,515
Marocco,F,Bra,Africa,Giovane adulto,36,515
India,M,Bra,India,Giovane adulto,36,515
Senegal,M,Bra,Sub-shara,Giovane,18,515
Albania,F,Bra,Euro-est,Anziano,59,515
Ceva,F,Briaglia,Italia,Anziano,53,3
Macedonia,F,Briaglia,Euro-est,Adulto,42,3
Macedonia,M,Briaglia,Euro-est,Giovane adulto,38,3
Bra,F,Brondello,Italia,Giovane adulto,32,16
Saluzzo,F,Brondello,Italia,Adulto,46,16
Brasile,F,Brondello,Americhe,Anziano,62,16
Brondello,M,Brondello,Italia,Anziano,72,16
Marocco,M,Brondello,Africa,Adulto,42,16
Cuneo,F,Brondello,Italia,Giovane,20,16
Romania,F,Brondello,Euro-est,Anziano,51,16
Bra,F,Brondello,Italia,Anziano,59,16
Torino,M,Brondello,Italia,Anziano,61,16
Savigliano,M,Brondello,Italia,Giovane,21,16
Iraq,M,Brondello,India,Adulto,42,16
Savigliano,M,Brondello,Italia,Giovane adulto,32,16
Romania,M,Brondello,Euro-est,Giovane,22,16
Torino,F,Brondello,Italia,Anziano,60,16
Saluzzo,M,Brondello,Italia,Adulto,48,16
Romania,F,Brondello,Euro-est,Adulto,45,16
Marocco,F,Brossasco,Africa,Giovane,26,20
Brossasco,M,Brossasco,Italia,Anziano,73,20
Torino,F,Brossasco,Italia,Adulto,48,20
Gambia,M,Brossasco,Sub-shara,Giovane,30,20
Venasca,F,Brossasco,Italia,Anziano,61,20
Cuneo,F,Brossasco,Italia,Adulto,49,20
Saluzzo,M,Brossasco,Italia,Anziano,62,20
Saluzzo,F,Brossasco,Italia,Giovane adulto,34,20
Argentina,F,Brossasco,Americhe,Adulto,46,20
Savigliano,M,Brossasco,Italia,Giovane,21,20
Cuneo,M,Brossasco,Italia,Giovane,25,20
Saluzzo,M,Brossasco,Italia,Anziano,62,20
Marocco,M,Brossasco,Africa,Giovane,25,20
Savigliano,M,Brossasco,Italia,Giovane,20,20
Saluzzo,F,Brossasco,Italia,Giovane,24,20
Cuneo,F,Brossasco,Italia,Giovane adulto,35,20
Saluzzo,M,Brossasco,Italia,Giovane,25,20
Cuneo,F,Brossasco,Italia,Giovane,25,20
Marocco,M,Brossasco,Africa,Giovane adulto,36,20
Torino,M,Brossasco,Italia,Giovane,23,20
India,M,Busca,India,Giovane adulto,38,343
